scale	run	baseline_time_ms	patched_time_ms	baseline_ns_per_pixel	patched_ns_per_pixel	speedup_percent
0.56	2	0.3831	0.3209	15.9734	13.3791	19.391
0.56	3	0.3829	0.3200	15.9635	13.3394	19.672
0.56	median	0.3831	0.3200	15.9734	13.3394	19.746
0.57	1	0.3929	0.3281	15.7582	13.1573	19.768
0.57	2	0.3929	0.3300	15.7582	13.2338	19.075
0.57	3	0.3920	0.3278	15.7199	13.1477	19.564
0.57	median	0.3929	0.3281	15.7582	13.1573	19.768
0.58	1	0.4079	0.3369	15.7784	13.0303	21.090
0.58	2	0.4091	0.3390	15.8245	13.1133	20.675
0.58	3	0.4101	0.3369	15.8614	13.0303	21.727
0.58	median	0.4091	0.3369	15.8245	13.0303	21.444
0.59	1	0.4201	0.3469	15.6529	12.9257	21.099
0.59	2	0.4189	0.3481	15.6085	12.9701	20.342
0.59	3	0.4179	0.3459	15.5730	12.8901	20.814
0.59	median	0.4189	0.3469	15.6085	12.9257	20.756
0.60	1	0.4280	0.3529	15.4789	12.7626	21.283
0.60	2	0.4261	0.3538	15.4099	12.7971	20.417
0.60	3	0.4258	0.3529	15.4013	12.7626	20.675
0.60	median	0.4261	0.3529	15.4099	12.7626	20.743
0.61	1	0.4389	0.3660	15.4172	12.8547	19.934
0.61	2	0.4380	0.3679	15.3837	12.9217	19.053
0.61	3	0.4389	0.3660	15.4172	12.8547	19.934
0.61	median	0.4389	0.3660	15.4172	12.8547	19.934
0.62	1	0.4492	0.3760	15.2254	12.7444	19.467
0.62	2	0.4501	0.3769	15.2578	12.7768	19.418
0.62	3	0.4499	0.3750	15.2497	12.7121	19.962
0.62	median	0.4499	0.3760	15.2497	12.7444	19.658
0.63	1	0.4640	0.3831	15.2109	12.5611	21.095
0.63	2	0.4630	0.3860	15.1796	12.6549	19.950
0.63	3	0.4630	0.3829	15.1796	12.5533	20.921
0.63	median	0.4630	0.3831	15.1796	12.5611	20.846
0.64	1	0.4740	0.3929	15.0135	12.4458	20.631
0.64	2	0.4728	0.3951	14.9757	12.5138	19.673
0.64	3	0.4740	0.3929	15.0135	12.4458	20.631
0.64	median	0.4740	0.3929	15.0135	12.4458	20.631
0.65	1	0.4821	0.3989	14.8571	12.2927	20.861
0.65	2	0.4821	0.4020	14.8571	12.3882	19.929
0.65	3	0.4809	0.4001	14.8203	12.3295	20.202
0.65	median	0.4821	0.4001	14.8571	12.3295	20.500
0.66	1	0.4959	0.4070	14.8752	12.2077	21.851
0.66	2	0.4959	0.4101	14.8752	12.3007	20.930
0.66	3	0.4959	0.4079	14.8752	12.2363	21.566
0.66	median	0.4959	0.4079	14.8752	12.2363	21.566
0.67	1	0.5090	0.4189	14.7740	12.1583	21.514
0.67	2	0.5090	0.4230	14.7740	12.2759	20.350
0.67	3	0.5090	0.4189	14.7740	12.1583	21.514
0.67	median	0.5090	0.4189	14.7740	12.1583	21.514
0.68	1	0.5250	0.4289	14.7745	12.0706	22.401
0.68	2	0.5229	0.4320	14.7141	12.1578	21.026
0.68	3	0.5238	0.4299	14.7410	12.0974	21.853
0.68	median	0.5238	0.4299	14.7410	12.0974	21.853
0.69	1	0.5381	0.4392	14.6680	11.9710	22.529
0.69	2	0.5381	0.4430	14.6680	12.0750	21.474
0.69	3	0.5379	0.4399	14.6615	11.9905	22.276
0.69	median	0.5381	0.4399	14.6680	11.9905	22.330
0.70	1	0.5450	0.4470	14.4830	11.8791	21.920
0.70	2	0.5412	0.4499	14.3816	11.9551	20.297
0.70	3	0.5410	0.4470	14.3753	11.8791	21.013
0.70	median	0.5412	0.4470	14.3816	11.8791	21.066
0.71	1	0.5610	0.4621	14.5374	11.9734	21.414
0.71	2	0.5610	0.4649	14.5374	12.0476	20.666
0.71	3	0.5610	0.4630	14.5374	11.9982	21.163
0.71	median	0.5610	0.4630	14.5374	11.9982	21.163
0.72	1	0.5729	0.4728	14.3986	11.8820	21.180
0.72	2	0.5720	0.4761	14.3746	11.9659	20.130
0.72	3	0.5710	0.4730	14.3507	11.8880	20.716
0.72	median	0.5720	0.4730	14.3746	11.8880	20.917
0.73	1	0.5898	0.4818	14.4041	11.7666	22.415
0.73	2	0.5870	0.4840	14.3342	11.8190	21.281
0.73	3	0.5879	0.4821	14.3575	11.7725	21.958
0.73	median	0.5879	0.4821	14.3575	11.7725	21.958
0.74	1	0.6020	0.4940	14.2703	11.7101	21.863
0.74	2	0.5982	0.4950	14.1799	11.7327	20.858
0.74	3	0.5980	0.4928	14.1742	11.6819	21.335
0.74	median	0.5982	0.4940	14.1799	11.7101	21.091
0.75	1	0.6101	0.5012	14.1230	11.6008	21.742
0.75	2	0.6070	0.5028	14.0512	11.6395	20.720
0.75	3	0.6058	0.4990	14.0236	11.5512	21.404
0.75	median	0.6070	0.5012	14.0512	11.6008	21.123
0.76	1	0.6270	0.5100	14.1781	11.5312	22.954
0.76	2	0.6239	0.5112	14.1080	11.5581	22.062
0.76	3	0.6239	0.5090	14.1080	11.5096	22.576
0.76	median	0.6239	0.5100	14.1080	11.5312	22.346
0.77	1	0.6399	0.5190	14.0610	11.4049	23.289
0.77	2	0.6349	0.5219	13.9510	11.4678	21.654
0.77	3	0.6351	0.5200	13.9562	11.4259	22.145
0.77	median	0.6351	0.5200	13.9562	11.4259	22.145
0.78	1	0.6530	0.5288	13.9685	11.3115	23.489
0.78	2	0.6521	0.5310	13.9481	11.3574	22.811
0.78	3	0.6509	0.5288	13.9226	11.3115	23.084
0.78	median	0.6521	0.5288	13.9481	11.3115	23.309
0.79	1	0.6649	0.5410	13.8329	11.2538	22.918
0.79	2	0.6661	0.5438	13.8577	11.3134	22.489
0.79	3	0.6630	0.5419	13.7933	11.2737	22.349
0.79	median	0.6649	0.5419	13.8329	11.2737	22.701
0.80	1	0.6759	0.5510	13.7516	11.2098	22.675
0.80	2	0.6728	0.5512	13.6885	11.2147	22.059
0.80	3	0.6731	0.5498	13.6934	11.1856	22.420
0.80	median	0.6731	0.5510	13.6934	11.2098	22.156
0.81	1	0.6931	0.5581	13.7938	11.1081	24.178
0.81	2	0.6931	0.5610	13.7938	11.1650	23.545
0.81	3	0.6959	0.5589	13.8507	11.1223	24.531
0.81	median	0.6931	0.5589	13.7938	11.1223	24.019
0.82	1	0.7079	0.5701	13.7146	11.0447	24.174
0.82	2	0.7069	0.5720	13.6961	11.0816	23.593
0.82	3	0.7060	0.5698	13.6776	11.0400	23.891
0.82	median	0.7069	0.5701	13.6961	11.0447	24.006
0.83	1	0.7260	0.5791	13.7149	10.9404	25.360
0.83	2	0.7229	0.5820	13.6563	10.9944	24.211
0.83	3	0.7231	0.5798	13.6609	10.9539	24.713
0.83	median	0.7231	0.5798	13.6609	10.9539	24.713
0.84	1	0.7401	0.5910	13.6194	10.8771	25.212
0.84	2	0.7350	0.5929	13.5273	10.9122	23.965
0.84	3	0.7348	0.5920	13.5229	10.8946	24.125
0.84	median	0.7350	0.5920	13.5273	10.8946	24.165
0.85	1	0.7470	0.5991	13.4617	10.7978	24.671
0.85	2	0.7420	0.6011	13.3715	10.8321	23.443
0.85	3	0.7441	0.5999	13.4102	10.8106	24.047
0.85	median	0.7441	0.5999	13.4102	10.8106	24.047
0.86	1	0.7651	0.6089	13.5055	10.7488	25.647
0.86	2	0.7620	0.6111	13.4508	10.7867	24.698
0.86	3	0.7629	0.6080	13.4676	10.7320	25.490
0.86	median	0.7629	0.6089	13.4676	10.7488	25.294
0.87	1	0.7792	0.6199	13.4101	10.6690	25.692
0.87	2	0.7761	0.6220	13.3567	10.7059	24.760
0.87	3	0.7749	0.6199	13.3362	10.6690	25.000
0.87	median	0.7761	0.6199	13.3567	10.6690	25.192
0.88	1	0.7920	0.6299	13.3109	10.5862	25.738
0.88	2	0.7920	0.6318	13.3109	10.6183	25.358
0.88	3	0.7920	0.6289	13.3109	10.5702	25.929
0.88	median	0.7920	0.6299	13.3109	10.5862	25.738
0.89	1	0.8059	0.6418	13.2129	10.5234	25.557
0.89	2	0.8061	0.6440	13.2168	10.5586	25.176
0.89	3	0.8051	0.6418	13.2012	10.5234	25.446
0.89	median	0.8059	0.6418	13.2129	10.5234	25.557
0.90	1	0.8171	0.6499	13.1343	10.4477	25.715
0.90	2	0.8149	0.6518	13.0998	10.4783	25.018
0.90	3	0.8161	0.6499	13.1190	10.4477	25.568
0.90	median	0.8161	0.6499	13.1190	10.4477	25.568
0.91	1	0.8421	0.6781	13.2743	10.6886	24.191
0.91	2	0.8411	0.6828	13.2593	10.7638	23.184
0.91	3	0.8399	0.6809	13.2405	10.7337	23.354
0.91	median	0.8411	0.6809	13.2593	10.7337	23.530
0.92	1	0.8550	0.6919	13.1586	10.6487	23.570
0.92	2	0.8571	0.6950	13.1917	10.6964	23.328
0.92	3	0.8550	0.6940	13.1586	10.6818	23.187
0.92	median	0.8550	0.6940	13.1586	10.6818	23.187
0.93	1	0.8750	0.7021	13.1669	10.5658	24.618
0.93	2	0.8700	0.7060	13.0916	10.6232	23.236
0.93	3	0.8719	0.7041	13.1203	10.5945	23.841
0.93	median	0.8719	0.7041	13.1203	10.5945	23.841
0.94	1	0.8910	0.7172	13.0975	10.5425	24.235
0.94	2	0.8841	0.7200	12.9959	10.5845	22.782
0.94	3	0.8831	0.7172	12.9818	10.5425	23.138
0.94	median	0.8841	0.7172	12.9959	10.5425	23.272
0.95	1	0.9010	0.7250	12.9990	10.4604	24.269
0.95	2	0.8929	0.7291	12.8820	10.5189	22.465
0.95	3	0.8929	0.7260	12.8820	10.4742	22.988
0.95	median	0.8929	0.7260	12.8820	10.4742	22.988
0.96	1	0.9198	0.7370	13.0268	10.4369	24.815
0.96	2	0.9160	0.7401	12.9727	10.4808	23.776
0.96	3	0.9170	0.7370	12.9862	10.4369	24.426
0.96	median	0.9170	0.7370	12.9862	10.4369	24.426
0.97	1	0.9339	0.7491	12.9293	10.3712	24.665
0.97	2	0.9329	0.7510	12.9161	10.3976	24.222
0.97	3	0.9320	0.7501	12.9029	10.3844	24.253
0.97	median	0.9329	0.7501	12.9161	10.3844	24.380
0.98	1	0.9460	0.7591	12.8208	10.2876	24.624
0.98	2	0.9470	0.7641	12.8337	10.3555	23.931
0.98	3	0.9458	0.7610	12.8175	10.3135	24.279
0.98	median	0.9460	0.7610	12.8208	10.3135	24.311
0.99	1	0.9630	0.7751	12.7637	10.2736	24.238
0.99	2	0.9670	0.7789	12.8175	10.3241	24.151
0.99	3	0.9658	0.7739	12.8017	10.2578	24.800
0.99	median	0.9658	0.7751	12.8017	10.2736	24.608
1.00	1	0.3150	0.0942	4.1009	1.2262	234.440
1.00	2	0.3169	0.0939	4.1258	1.2231	237.323
1.00	3	0.3140	0.0939	4.0885	1.2231	234.274
1.00	median	0.3150	0.0939	4.1009	1.2231	235.287
1.01	1	1.0009	0.8068	12.8046	10.3217	24.055
1.01	2	1.0009	0.8109	12.8046	10.3736	23.434
1.01	3	1.0178	0.8030	13.0211	10.2729	26.752
1.01	median	1.0009	0.8068	12.8046	10.3217	24.055
1.02	1	1.0200	0.8199	12.7702	10.2657	24.397
1.02	2	1.0180	0.8249	12.7463	10.3284	23.410
1.02	3	1.0271	0.8199	12.8597	10.2657	25.269
1.02	median	1.0200	0.8199	12.7702	10.2657	24.397
1.03	1	1.0390	0.8340	12.7472	10.2317	24.585
1.03	2	1.0428	0.8349	12.7940	10.2434	24.900
1.03	3	1.0371	0.8330	12.7238	10.2200	24.499
1.03	median	1.0390	0.8340	12.7472	10.2317	24.585
1.04	1	1.0688	0.8459	12.8388	10.1611	26.352
1.04	2	1.0569	0.8500	12.6956	10.2098	24.347
1.04	3	1.0579	0.8440	12.7071	10.1382	25.339
1.04	median	1.0579	0.8459	12.7071	10.1611	25.056
1.05	1	1.0669	0.8540	12.6007	10.0862	24.930
1.05	2	1.0669	0.8621	12.6007	10.1819	23.756
1.05	3	1.0610	0.8609	12.5303	10.1678	23.235
1.05	median	1.0669	0.8609	12.6007	10.1678	23.927
1.06	1	1.0879	0.8640	12.6345	10.0345	25.911
1.06	2	1.0850	0.8740	12.6012	10.1508	24.140
1.06	3	1.0850	0.8659	12.6012	10.0566	25.303
1.06	median	1.0850	0.8659	12.6012	10.0566	25.303
1.07	1	1.1070	0.8841	12.5945	10.0582	25.216
1.07	2	1.1029	0.8841	12.5483	10.0582	24.757
1.07	3	1.1110	0.8819	12.6406	10.0338	25.980
1.07	median	1.1070	0.8841	12.5945	10.0582	25.216
1.08	1	1.1179	0.8960	12.4751	9.9982	24.773
1.08	2	1.1179	0.9010	12.4751	10.0541	24.080
1.08	3	1.1179	0.8960	12.4751	9.9982	24.773
1.08	median	1.1179	0.8960	12.4751	9.9982	24.773
1.09	1	1.1342	0.9091	12.4036	9.9421	24.758
1.09	2	1.1339	0.9141	12.4010	9.9969	24.048
1.09	3	1.1401	0.9079	12.4688	9.9291	25.578
1.09	median	1.1342	0.9091	12.4036	9.9421	24.758
1.10	1	1.1461	0.9222	12.3330	9.9238	24.277
1.10	2	1.1470	0.9220	12.3432	9.9213	24.411
1.10	3	1.1458	0.9179	12.3304	9.8777	24.831
1.10	median	1.1461	0.9220	12.3330	9.9213	24.308
1.11	1	1.1771	0.9210	12.4650	9.7534	27.802
1.11	2	1.1759	0.9241	12.4524	9.7862	27.244
1.11	3	1.1809	0.9220	12.5054	9.7635	28.083
1.11	median	1.1771	0.9220	12.4650	9.7635	27.669
1.12	1	1.1990	0.9360	12.4505	9.7197	28.096
1.12	2	1.1969	0.9379	12.4282	9.7396	27.605
1.12	3	1.1961	0.9358	12.4208	9.7173	27.822
1.12	median	1.1969	0.9360	12.4282	9.7197	27.866
1.13	1	1.2209	0.9539	12.4456	9.7237	27.992
1.13	2	1.2162	0.9551	12.3970	9.7358	27.334
1.13	3	1.2140	0.9480	12.3752	9.6629	28.069
1.13	median	1.2162	0.9539	12.3970	9.7237	27.493
1.14	1	1.2391	0.9680	12.3894	9.6788	28.006
1.14	2	1.2300	0.9661	12.2988	9.6598	27.319
1.14	3	1.2290	0.9639	12.2892	9.6383	27.504
1.14	median	1.2300	0.9661	12.2988	9.6598	27.319
1.15	1	1.2510	0.9739	12.3167	9.5890	28.446
1.15	2	1.2431	0.9780	12.2392	9.6289	27.109
1.15	3	1.2450	0.9739	12.2580	9.5890	27.834
1.15	median	1.2450	0.9739	12.2580	9.5890	27.834
1.16	1	1.2810	0.9859	12.4205	9.5587	29.939
1.16	2	1.2679	0.9890	12.2933	9.5887	28.206
1.16	3	1.2670	0.9859	12.2841	9.5587	28.512
1.16	median	1.2679	0.9859	12.2933	9.5587	28.608
1.17	1	1.2910	1.0011	12.2846	9.5259	28.960
1.17	2	1.2860	1.0040	12.2369	9.5532	28.092
1.17	3	1.2839	1.0011	12.2165	9.5259	28.245
1.17	median	1.2860	1.0011	12.2369	9.5259	28.459
1.18	1	1.3070	1.0140	12.2180	9.4789	28.897
1.18	2	1.3080	1.0171	12.2269	9.5079	28.597
1.18	3	1.3030	1.0140	12.1801	9.4789	28.497
1.18	median	1.3070	1.0140	12.2180	9.4789	28.897
1.19	1	1.3211	1.0300	12.1238	9.4522	28.264
1.19	2	1.3261	1.0331	12.1697	9.4806	28.364
1.19	3	1.3201	1.0331	12.1150	9.4806	27.787
1.19	median	1.3211	1.0331	12.1238	9.4806	27.880
1.20	1	1.3351	1.0400	12.0727	9.4038	28.381
1.20	2	1.3340	1.0440	12.0619	9.4404	27.769
1.20	3	1.3340	1.0412	12.0619	9.4146	28.119
1.20	median	1.3340	1.0412	12.0619	9.4146	28.119
1.21	1	1.3700	1.0822	12.2067	9.6425	26.593
1.21	2	1.3750	1.0850	12.2513	9.6680	26.720
1.21	3	1.3702	1.0839	12.2088	9.6574	26.419
1.21	median	1.3702	1.0839	12.2088	9.6574	26.419
1.22	1	1.3900	1.1010	12.1640	9.6352	26.245
1.22	2	1.3921	1.1020	12.1828	9.6436	26.330
1.22	3	1.3912	1.1060	12.1744	9.6790	25.782
1.22	median	1.3912	1.1020	12.1744	9.6436	26.243
1.23	1	1.4169	1.1160	12.1907	9.6020	26.960
1.23	2	1.4160	1.1160	12.1825	9.6020	26.875
1.23	3	1.4079	1.1148	12.1127	9.5917	26.283
1.23	median	1.4160	1.1160	12.1825	9.6020	26.875
1.24	1	1.4360	1.1342	12.1380	9.5866	26.614
1.24	2	1.4231	1.1320	12.0291	9.5685	25.716
1.24	3	1.4231	1.1342	12.0291	9.5866	25.478
1.24	median	1.4231	1.1342	12.0291	9.5866	25.478
1.25	1	1.4579	1.1401	12.1494	9.5010	27.875
