# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 718  of event 'cpu-clock'
# Event count (approx.): 7252525180
#
# Overhead  Command  Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ..................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.14%  python    (deleted)          [.] 0x000000000012fe76
     0.14%  python    (deleted)          [.] 0x00000000001300a8
     0.14%  python    (deleted)          [.] 0x00000000001300aa
     0.14%  python    (deleted)          [.] 0x00000000001300f4
     0.14%  python    (deleted)          [.] 0x00000000001300fa
     0.14%  python    (deleted)          [.] 0x000000000013016c
     0.14%  python    (deleted)          [.] 0x0000000000130188
     0.14%  python    (deleted)          [.] 0x00000000001301b6
     0.14%  python    (deleted)          [.] 0x00000000001301d2
     0.14%  python    (deleted)          [.] 0x000000000013021c
     0.14%  python    (deleted)          [.] 0x00000000001304a2
     0.14%  python    (deleted)          [.] 0x000000000013050e
     0.14%  python    (deleted)          [.] 0x0000000000130784
     0.14%  python    (deleted)          [.] 0x0000000000130c16
     0.14%  python    (deleted)          [.] 0x0000000000130c32
     0.14%  python    (deleted)          [.] 0x0000000000130c3e
     0.14%  python    (deleted)          [.] 0x0000000000130c60
     0.14%  python    (deleted)          [.] 0x0000000000130dfa
     0.14%  python    (deleted)          [.] 0x000000000013101a
     0.14%  python    (deleted)          [.] 0x00000000001334a0
     0.14%  python    (deleted)          [.] 0x00000000001334c2
     0.14%  python    (deleted)          [.] 0x0000000000133724
     0.14%  python    (deleted)          [.] 0x0000000000133790
     0.14%  python    (deleted)          [.] 0x00000000001337ac
     0.14%  python    (deleted)          [.] 0x000000000013381e
     0.14%  python    (deleted)          [.] 0x000000000013394e
     0.14%  python    (deleted)          [.] 0x0000000000133a96
     0.14%  python    (deleted)          [.] 0x0000000000133a98
     0.14%  python    (deleted)          [.] 0x0000000000133b26
     0.14%  python    (deleted)          [.] 0x0000000000133f10
     0.14%  python    (deleted)          [.] 0x0000000000134082
     0.14%  python    (deleted)          [.] 0x00000000001341de
     0.14%  python    (deleted)          [.] 0x00000000001344b0
     0.14%  python    (deleted)          [.] 0x000000000013459c
     0.14%  python    (deleted)          [.] 0x00000000001345cc
     0.14%  python    (deleted)          [.] 0x00000000001345e6
     0.14%  python    (deleted)          [.] 0x0000000000135324
     0.14%  python    (deleted)          [.] 0x000000000013545c
     0.14%  python    (deleted)          [.] 0x0000000000135460
     0.14%  python    (deleted)          [.] 0x000000000013550c
     0.14%  python    (deleted)          [.] 0x00000000001358e8
     0.14%  python    (deleted)          [.] 0x0000000000135c68
     0.14%  python    (deleted)          [.] 0x0000000000135cae
     0.14%  python    (deleted)          [.] 0x0000000000135cb0
     0.14%  python    (deleted)          [.] 0x0000000000135cbe
     0.14%  python    (deleted)          [.] 0x0000000000135cd4
     0.14%  python    (deleted)          [.] 0x0000000000135da8
     0.14%  python    (deleted)          [.] 0x0000000000135daa
     0.14%  python    (deleted)          [.] 0x0000000000135e10
     0.14%  python    (deleted)          [.] 0x0000000000135e14
     0.14%  python    (deleted)          [.] 0x0000000000135e16
     0.14%  python    (deleted)          [.] 0x0000000000135e1a
     0.14%  python    (deleted)          [.] 0x0000000000135e1c
     0.14%  python    (deleted)          [.] 0x0000000000135e40
     0.14%  python    (deleted)          [.] 0x0000000000135f02
     0.14%  python    (deleted)          [.] 0x0000000000135f5e
     0.14%  python    (deleted)          [.] 0x0000000000135f74
     0.14%  python    (deleted)          [.] 0x0000000000135fc4
     0.14%  python    (deleted)          [.] 0x000000000013609a
     0.14%  python    (deleted)          [.] 0x00000000001360de
     0.14%  python    (deleted)          [.] 0x00000000001360e4
     0.14%  python    (deleted)          [.] 0x0000000000136344
     0.14%  python    (deleted)          [.] 0x000000000013647c
     0.14%  python    (deleted)          [.] 0x000000000013647e
     0.14%  python    (deleted)          [.] 0x0000000000136482
     0.14%  python    (deleted)          [.] 0x00000000001364b8
     0.14%  python    (deleted)          [.] 0x00000000001364d8
     0.14%  python    (deleted)          [.] 0x000000000013654c
     0.14%  python    (deleted)          [.] 0x0000000000136556
     0.14%  python    (deleted)          [.] 0x0000000000136b84
     0.14%  python    (deleted)          [.] 0x0000000000136cf4
     0.14%  python    (deleted)          [.] 0x0000000000136d3a
     0.14%  python    (deleted)          [.] 0x0000000000136d4e
     0.14%  python    (deleted)          [.] 0x0000000000136e04
     0.14%  python    (deleted)          [.] 0x000000000013742a
     0.14%  python    (deleted)          [.] 0x0000000000137452
     0.14%  python    (deleted)          [.] 0x0000000000137480
     0.14%  python    (deleted)          [.] 0x00000000001374f4
     0.14%  python    (deleted)          [.] 0x00000000001374fa
     0.14%  python    (deleted)          [.] 0x0000000000137520
     0.14%  python    (deleted)          [.] 0x0000000000137570
     0.14%  python    (deleted)          [.] 0x000000000013759c
     0.14%  python    (deleted)          [.] 0x00000000001379d8
     0.14%  python    (deleted)          [.] 0x0000000000137d7e
     0.14%  python    (deleted)          [.] 0x00000000001388f8
     0.14%  python    (deleted)          [.] 0x0000000000138904
     0.14%  python    (deleted)          [.] 0x0000000000139266
     0.14%  python    (deleted)          [.] 0x000000000013a4de
     0.14%  python    (deleted)          [.] 0x000000000013b2ae
     0.14%  python    (deleted)          [.] 0x000000000013b2c2
     0.14%  python    (deleted)          [.] 0x000000000013b2ce
     0.14%  python    (deleted)          [.] 0x000000000013b340
     0.14%  python    (deleted)          [.] 0x000000000013b3b4
     0.14%  python    (deleted)          [.] 0x000000000013b5e8
     0.14%  python    (deleted)          [.] 0x000000000013bb2a
     0.14%  python    (deleted)          [.] 0x000000000013c770
     0.14%  python    (deleted)          [.] 0x000000000013ca82
     0.14%  python    (deleted)          [.] 0x000000000013cb04
     0.14%  python    (deleted)          [.] 0x000000000013cb6a
     0.14%  python    (deleted)          [.] 0x000000000013e442
     0.14%  python    (deleted)          [.] 0x000000000013ee46
     0.14%  python    (deleted)          [.] 0x000000000013f1ea
     0.14%  python    (deleted)          [.] 0x000000000013f524
     0.14%  python    (deleted)          [.] 0x000000000013f804
     0.14%  python    (deleted)          [.] 0x000000000013fef0
     0.14%  python    (deleted)          [.] 0x00000000001407fc
     0.14%  python    (deleted)          [.] 0x0000000000140854
     0.14%  python    (deleted)          [.] 0x0000000000140a16
     0.14%  python    (deleted)          [.] 0x0000000000140a28
     0.14%  python    (deleted)          [.] 0x000000000014149a
     0.14%  python    (deleted)          [.] 0x00000000001414f2
     0.14%  python    (deleted)          [.] 0x0000000000141552
     0.14%  python    (deleted)          [.] 0x0000000000141556
     0.14%  python    (deleted)          [.] 0x0000000000142700
     0.14%  python    (deleted)          [.] 0x00000000001442be
     0.14%  python    (deleted)          [.] 0x00000000001445ec
     0.14%  python    (deleted)          [.] 0x00000000001445fa
